merchant,category,amt,gender,zip,city_pop,is_fraud,age,hour,is_weekend
"fraud_Rippin, Kub and Mann",misc_net,4.97,F,28654,3495,0,13820,0,weekday
"fraud_Heller, Gutmann and Zieme",grocery_pos,107.23,F,99160,149,0,17369,0,weekday
fraud_Lind-Buckridge,entertainment,220.11,M,83252,4154,0,23366,0,weekday
"fraud_Kutch, Hermiston and Farrell",gas_transport,45.0,M,59632,1939,0,21547,0,weekday
fraud_Keeling-Crist,misc_pos,41.96,M,24433,99,0,14532,0,weekday
"fraud_Stroman, Hudson and Erdman",gas_transport,94.63,F,18917,2158,0,23580,0,weekday
fraud_Rowe-Vandervort,grocery_net,44.54,F,67851,2691,0,11834,0,weekday
fraud_Corwin-Collins,gas_transport,71.65,M,22824,6018,0,28631,0,weekday
fraud_Herzog Ltd,misc_pos,4.27,F,15665,1472,0,30989,0,weekday
"fraud_Schoen, Kuphal and Nitzsche",grocery_pos,198.39,F,37040,151785,0,18915,0,weekday
fraud_Rutherford-Mertz,grocery_pos,24.74,M,51632,7297,0,12964,0,weekday
fraud_Kerluke-Abshire,shopping_net,7.77,F,25442,1925,0,21879,0,weekday
fraud_Lockman Ltd,grocery_pos,71.22,M,33710,341043,0,13464,0,weekday
fraud_Kiehn Inc,grocery_pos,96.29,M,96038,589,0,29239,0,weekday
fraud_Beier-Hyatt,shopping_pos,7.77,M,88325,899,0,21317,0,weekday
fraud_Schmidt and Sons,shopping_net,3.26,M,7640,4664,0,22108,0,weekday
fraud_Lebsack and Sons,misc_net,327.0,F,73754,1078,0,26850,0,weekday
fraud_Mayert Group,shopping_pos,341.67,M,47838,4081,0,32077,0,weekday
"fraud_Konopelski, Schneider and Hartmann",food_dining,63.07,M,16421,2518,0,29196,0,weekday
"fraud_Schultz, Simonis and Little",grocery_pos,44.71,M,7208,124967,0,16455,0,weekday
fraud_Bauch-Raynor,grocery_pos,57.34,M,1844,47249,0,16484,0,weekday
fraud_Harris Inc,gas_transport,50.79,M,52572,1132,0,23705,0,weekday
fraud_Kling-Grant,grocery_net,46.28,F,7060,71485,0,18802,0,weekday
fraud_Pacocha-Bauch,shopping_pos,9.55,F,76857,1791,0,22082,0,weekday
fraud_Lesch Ltd,shopping_pos,22.95,M,53186,95015,0,29227,0,weekday
fraud_Kunde-Sanford,misc_net,2.55,F,27807,6629,0,23160,0,weekday
fraud_Deckow-O'Conner,grocery_pos,64.09,M,48174,31515,0,19789,0,weekday
fraud_Bruen-Yost,misc_pos,6.85,M,83120,471,0,21345,0,weekday
fraud_Kunze Inc,grocery_pos,90.22,M,96727,4878,0,21587,0,weekday
"fraud_Nitzsche, Kessler and Wolff",shopping_pos,4.02,M,69201,4005,0,29520,0,weekday
"fraud_Kihn, Abernathy and Douglas",shopping_net,3.66,F,97492,597,0,23611,0,weekday
"fraud_Heller, Gutmann and Zieme",grocery_pos,82.8,F,38079,5577,0,22290,0,weekday
fraud_Torphy-Goyette,shopping_pos,66.21,F,49879,1038,0,22542,0,weekday
fraud_Balistreri-Nader,misc_pos,25.58,F,70808,378909,0,17853,0,weekday
"fraud_Bahringer, Schoen and Corkery",shopping_pos,9.03,M,20012,601723,0,20262,0,weekday
fraud_Hudson-Ratke,grocery_pos,99.0,M,40914,467,0,15194,0,weekday
fraud_Heidenreich PLC,grocery_pos,207.36,F,11710,34496,0,20169,0,weekday
fraud_Halvorson Group,misc_pos,181.35,F,39073,19685,0,14991,0,weekday
fraud_Harber Inc,gas_transport,82.22,F,18103,166081,0,9962,0,weekday
"fraud_Mosciski, Gislason and Mertz",grocery_pos,221.81,F,11955,3285,0,13771,0,weekday
