iter	Passed	Remaining
0	156	31113
1	171	17005
2	184	12090
3	197	9681
4	208	8124
5	221	7175
6	233	6430
7	244	5869
8	256	5452
9	267	5074
10	280	4816
11	291	4571
12	301	4338
13	311	4135
14	320	3947
15	328	3781
16	342	3690
17	353	3570
18	362	3455
19	372	3355
20	383	3265
21	394	3190
22	406	3125
23	416	3053
24	428	3000
25	440	2946
26	451	2895
27	462	2841
28	473	2791
29	484	2747
30	496	2705
31	507	2662
32	518	2626
33	529	2585
34	540	2548
35	551	2510
36	561	2474
37	574	2449
38	587	2423
39	598	2394
40	610	2368
41	621	2338
42	634	2315
43	646	2292
44	658	2266
45	669	2240
46	681	2219
47	694	2198
48	705	2172
49	717	2153
50	729	2131
51	740	2107
52	753	2089
53	767	2075
54	778	2052
55	789	2030
56	800	2007
57	813	1992
58	826	1974
59	837	1954
60	849	1936
61	861	1917
62	873	1899
63	884	1878
64	894	1857
65	902	1832
66	912	1811
67	922	1790
68	932	1770
69	942	1750
70	952	1730
71	964	1714
72	975	1697
73	987	1681
74	997	1662
75	1010	1649
76	1020	1630
77	1032	1614
78	1041	1595
79	1052	1578
80	1063	1562
81	1075	1547
82	1087	1533
83	1100	1520
84	1109	1500
85	1121	1487
86	1132	1470
87	1143	1455
88	1155	1440
89	1166	1426
90	1178	1411
91	1191	1398
92	1201	1382
93	1213	1368
94	1224	1353
95	1233	1336
96	1246	1323
97	1256	1307
98	1264	1290
99	1273	1273
100	1285	1259
101	1293	1243
102	1307	1230
103	1315	1214
104	1325	1198
105	1334	1183
106	1343	1167
107	1353	1153
108	1364	1139
109	1373	1123
110	1382	1108
111	1393	1095
112	1402	1079
113	1413	1066
114	1426	1054
115	1437	1040
116	1448	1027
117	1459	1014
118	1469	1000
119	1479	986
120	1488	971
121	1498	958
122	1508	944
123	1522	933
124	1531	918
125	1541	905
126	1549	890
127	1561	878
128	1569	864
129	1578	850
130	1587	836
131	1597	823
132	1605	808
133	1615	795
134	1624	782
135	1633	768
136	1645	756
137	1654	743
138	1663	729
139	1672	716
140	1682	703
141	1691	691
142	1700	677
143	1711	665
144	1722	653
145	1732	640
146	1742	628
147	1751	615
148	1761	602
149	1770	590
150	1782	578
151	1791	565
152	1800	553
153	1809	540
154	1818	528
155	1831	516
156	1841	504
157	1851	492
158	1862	480
159	1870	467
160	1882	456
161	1894	444
162	1904	432
163	1912	419
164	1923	408
165	1933	396
166	1943	384
167	1954	372
168	1965	360
169	1977	348
170	1989	337
171	1999	325
172	2007	313
173	2017	301
174	2029	289
175	2039	278
176	2048	266
177	2059	254
178	2068	242
179	2077	230
180	2085	218
181	2095	207
182	2103	195
183	2113	183
184	2122	172
185	2133	160
186	2142	148
187	2151	137
188	2161	125
189	2170	114
190	2179	102
191	2188	91
192	2197	79
193	2206	68
194	2214	56
195	2224	45
196	2233	34
197	2240	22
198	2250	11
199	2259	0
