iter	Passed	Remaining
0	15	15879
1	33	16963
2	56	18716
3	79	19792
4	105	20940
5	120	19988
6	131	18612
7	142	17625
8	158	17428
9	185	18340
10	208	18741
11	229	18935
12	249	18916
13	267	18837
14	287	18885
15	309	19062
16	331	19148
17	350	19114
18	371	19182
19	391	19196
20	409	19089
21	426	18976
22	438	18607
23	450	18302
24	461	17981
25	471	17660
26	482	17405
27	494	17170
28	505	16938
29	516	16710
30	528	16534
31	539	16333
32	551	16152
33	562	15973
34	573	15803
35	584	15646
36	595	15497
37	606	15356
38	617	15216
39	628	15074
40	638	14943
41	649	14820
42	661	14726
43	672	14621
44	685	14538
45	696	14451
46	708	14366
47	719	14275
48	730	14182
49	741	14097
50	753	14025
51	765	13962
52	776	13882
53	788	13810
54	799	13739
55	810	13656
56	820	13582
57	832	13519
58	845	13478
59	857	13429
60	868	13369
61	879	13308
62	891	13255
63	903	13210
64	915	13171
65	927	13128
66	939	13082
67	950	13028
68	961	12975
69	972	12925
70	984	12878
71	995	12829
72	1005	12774
73	1016	12723
74	1028	12683
75	1040	12648
76	1052	12615
77	1063	12576
78	1078	12573
79	1093	12578
80	1107	12567
81	1120	12542
82	1134	12528
83	1145	12491
84	1157	12456
85	1169	12430
86	1181	12395
87	1192	12360
88	1204	12333
89	1217	12310
90	1228	12276
91	1241	12250
92	1252	12216
93	1263	12177
94	1274	12143
95	1285	12105
96	1297	12080
97	1308	12043
98	1319	12007
99	1330	11972
100	1340	11935
101	1351	11895
102	1361	11857
103	1372	11826
104	1383	11789
105	1393	11752
106	1404	11719
107	1415	11689
108	1425	11654
109	1436	11625
110	1448	11598
111	1459	11570
112	1471	11548
113	1483	11526
114	1494	11504
115	1505	11475
116	1517	11448
117	1529	11429
118	1539	11400
119	1551	11375
120	1561	11342
121	1572	11313
122	1583	11292
123	1596	11276
124	1607	11252
125	1618	11227
126	1629	11201
127	1641	11181
128	1652	11154
129	1662	11126
130	1673	11100
131	1684	11076
132	1695	11053
133	1706	11026
134	1717	11002
135	1728	10983
136	1739	10956
137	1750	10934
138	1762	10917
139	1774	10899
140	1784	10871
141	1794	10844
142	1807	10832
143	1818	10812
144	1830	10793
145	1841	10773
146	1852	10748
147	1863	10728
148	1875	10714
149	1888	10698
150	1898	10676
151	1910	10657
152	1920	10631
153	1931	10609
154	1942	10588
155	1953	10568
156	1963	10543
157	1974	10520
158	1984	10498
159	1995	10477
160	2006	10457
161	2016	10433
162	2027	10412
163	2038	10392
164	2048	10368
165	2060	10354
166	2071	10332
167	2083	10318
168	2094	10300
169	2106	10282
170	2118	10268
171	2129	10252
172	2141	10236
173	2152	10220
174	2162	10196
175	2173	10174
176	2183	10154
177	2194	10132
178	2205	10115
179	2215	10093
180	2226	10076
181	2238	10060
182	2249	10043
183	2261	10028
184	2272	10009
185	2283	9991
186	2294	9977
187	2307	9965
188	2318	9948
189	2330	9933
190	2342	9922
191	2354	9908
192	2366	9895
193	2377	9877
194	2389	9864
195	2401	9849
196	2411	9829
197	2422	9811
198	2433	9793
199	2443	9772
200	2453	9754
201	2465	9739
202	2476	9721
203	2487	9706
204	2498	9687
205	2508	9670
206	2520	9655
207	2531	9638
208	2539	9611
209	2549	9590
210	2559	9570
211	2568	9548
212	2578	9528
213	2588	9508
214	2599	9489
215	2610	9473
216	2621	9457
217	2631	9440
218	2641	9420
219	2652	9405
220	2663	9389
221	2672	9364
222	2682	9347
223	2693	9332
224	2703	9313
225	2714	9295
226	2724	9277
227	2735	9260
228	2745	9242
229	2754	9222
230	2765	9205
231	2775	9186
232	2786	9172
233	2797	9159
234	2808	9143
235	2819	9126
236	2830	9111
237	2841	9097
238	2852	9081
239	2861	9060
240	2872	9046
241	2882	9030
242	2893	9014
243	2904	8999
244	2915	8984
245	2926	8969
246	2937	8953
247	2945	8932
248	2956	8916
249	2967	8901
250	2977	8885
251	2988	8869
252	2998	8854
253	3009	8840
254	3020	8824
255	3030	8808
256	3042	8794
257	3050	8774
258	3063	8763
259	3074	8750
260	3082	8728
261	3092	8709
262	3102	8694
263	3113	8678
264	3121	8658
265	3129	8636
266	3140	8622
267	3149	8601
268	3158	8582
269	3167	8563
270	3177	8548
271	3188	8533
272	3199	8519
273	3209	8502
274	3217	8483
275	3226	8464
276	3235	8445
277	3245	8428
278	3256	8414
279	3264	8394
280	3275	8381
281	3285	8365
282	3293	8345
283	3301	8324
284	3312	8310
285	3321	8292
286	3331	8276
287	3339	8256
288	3348	8237
289	3359	8224
290	3369	8210
291	3378	8191
292	3389	8177
293	3398	8160
294	3406	8141
295	3416	8125
296	3427	8113
297	3438	8099
298	3447	8082
299	3456	8065
300	3466	8050
301	3475	8031
302	3484	8016
303	3495	8001
304	3505	7988
305	3516	7975
306	3526	7960
307	3535	7942
308	3543	7923
309	3554	7910
310	3565	7899
311	3575	7885
312	3586	7871
313	3595	7855
314	3605	7840
315	3615	7826
316	3626	7813
317	3635	7796
318	3643	7779
319	3655	7768
320	3667	7756
321	3675	7739
322	3685	7724
323	3694	7707
324	3704	7694
325	3713	7678
326	3724	7664
327	3732	7647
328	3741	7630
329	3751	7616
330	3761	7602
331	3770	7586
332	3778	7568
333	3787	7551
334	3796	7535
335	3806	7522
336	3816	7508
337	3827	7495
338	3839	7486
339	3850	7475
340	3859	7458
341	3867	7441
342	3878	7428
343	3887	7412
344	3896	7398
345	3906	7384
346	3915	7368
347	3925	7354
348	3936	7342
349	3944	7325
350	3954	7312
351	3963	7295
352	3971	7278
353	3980	7263
354	3989	7248
355	3998	7233
356	4008	7219
357	4017	7204
358	4027	7190
359	4037	7178
360	4046	7163
361	4058	7152
362	4067	7136
363	4076	7122
364	4084	7106
365	4093	7090
366	4102	7076
367	4113	7065
368	4122	7049
369	4131	7035
370	4140	7019
371	4148	7004
372	4157	6988
373	4165	6972
374	4173	6956
375	4182	6940
376	4190	6925
377	4198	6909
378	4207	6894
379	4216	6879
380	4225	6864
381	4233	6848
382	4242	6833
383	4250	6817
384	4258	6802
385	4266	6786
386	4274	6770
387	4282	6755
388	4291	6740
389	4300	6725
390	4308	6711
391	4317	6695
392	4326	6681
393	4334	6666
394	4342	6651
395	4352	6639
396	4361	6623
397	4369	6608
398	4378	6595
399	4386	6579
400	4396	6566
401	4405	6552
402	4412	6537
403	4421	6522
404	4430	6508
405	4438	6493
406	4446	6478
407	4455	6464
408	4463	6449
409	4472	6435
410	4482	6423
411	4492	6411
412	4500	6396
413	4509	6382
414	4517	6367
415	4525	6353
416	4533	6338
417	4542	6324
418	4551	6311
419	4560	6297
420	4570	6285
421	4578	6270
422	4586	6256
423	4597	6244
424	4605	6230
425	4614	6217
426	4623	6204
427	4631	6189
428	4640	6176
429	4648	6161
430	4656	6147
431	4664	6133
432	4672	6118
433	4681	6104
434	4689	6090
435	4697	6077
436	4706	6062
437	4714	6049
438	4722	6035
439	4731	6021
440	4739	6008
441	4750	5997
442	4758	5983
443	4767	5970
444	4775	5955
445	4784	5942
446	4792	5928
447	4801	5916
448	4809	5902
449	4818	5889
450	4826	5875
451	4834	5861
452	4842	5847
453	4851	5834
454	4859	5821
455	4868	5807
456	4876	5794
457	4885	5781
458	4893	5767
459	4901	5753
460	4910	5741
461	4918	5727
462	4926	5714
463	4935	5700
464	4943	5687
465	4951	5674
466	4959	5660
467	4968	5648
468	4977	5635
469	4986	5623
470	4995	5610
471	5003	5597
472	5011	5583
473	5020	5571
474	5029	5558
475	5037	5545
476	5045	5531
477	5053	5518
478	5062	5506
479	5071	5493
480	5080	5481
481	5088	5468
482	5097	5456
483	5105	5443
484	5114	5430
485	5122	5417
486	5130	5404
487	5138	5391
488	5147	5378
489	5156	5366
490	5165	5354
491	5174	5342
492	5183	5330
493	5192	5318
494	5200	5305
495	5208	5292
496	5217	5280
497	5226	5268
498	5234	5255
499	5243	5243
500	5251	5230
501	5259	5217
502	5268	5205
503	5276	5192
504	5285	5180
505	5293	5168
506	5302	5155
507	5310	5143
508	5318	5130
509	5326	5117
510	5335	5105
511	5342	5092
512	5351	5080
513	5359	5067
514	5368	5055
515	5377	5043
516	5385	5031
517	5394	5019
518	5402	5006
519	5410	4994
520	5419	4982
521	5427	4970
522	5435	4957
523	5443	4945
524	5452	4932
525	5460	4920
526	5469	4908
527	5477	4896
528	5486	4884
529	5494	4872
530	5503	4860
531	5511	4848
532	5519	4836
533	5528	4824
534	5536	4811
535	5545	4800
536	5553	4788
537	5561	4776
538	5569	4763
539	5578	4752
540	5587	4740
541	5595	4728
542	5603	4715
543	5611	4703
544	5619	4691
545	5628	4679
